name,slug,city,state,country,level,conference,officialWebsite,athleticsWebsite,sourceUrl,seasonYear,lastVerifiedAt
Valley City State University,valley-city-state-university,Valley City,ND,USA,NAIA,Frontier Conference,https://www.vcsu.edu,,,2025-2026,2026-05-19
Dickinson State University,dickinson-state-university,Dickinson,ND,USA,NAIA,Frontier Conference,https://dickinsonstate.edu,,,2025-2026,2026-05-19
Dakota State University,dakota-state-university,Madison,SD,USA,NAIA,Frontier Conference,https://dsu.edu,,,2025-2026,2026-05-19
Mayville State University,mayville-state-university,Mayville,ND,USA,NAIA,Frontier Conference,https://mayvillestate.edu,,,2025-2026,2026-05-19
University of Jamestown,university-of-jamestown,Jamestown,ND,USA,D2,Northern Sun Intercollegiate Conference,https://www.uj.edu,,,2025-2026,2026-05-19
