name,slug,city,state,country,level,conference,officialWebsite,athleticsWebsite,sourceUrl,seasonYear,lastVerifiedAt
University of Texas,university-of-texas,,,USA,,SEC,,,https://texassports.com,2025-2026,2026-05-19
ithaca-college,ithaca-college,,,USA,,State University of New York Athletic Conference,,,https://ithacabombers.com/sports/football,2025-2026,2026-05-19
suny-brockport,suny-brockport,,,USA,,State University of New York Athletic Conference,,,https://brockportathletics.com/sports/football,2025-2026,2026-05-19
lycoming-college,lycoming-college,,,USA,,State University of New York Athletic Conference,,,https://lycomingathletics.com/sports/football,2025-2026,2026-05-19
lebanon-valley-college,lebanon-valley-college,,,USA,,State University of New York Athletic Conference,,,https://godutchmen.com/sports/football,2025-2026,2026-05-19
